district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases
Thiruvananthapuram,2414,2350,64,3,4,0,0,4
Kollam,758,751,7,4,0,0,0,0
Pathanamthitta,2900,2884,16,2,9,0,0,9
Idukki,442,442,0,0,1,0,0,1
Kottayam,1311,1304,7,0,2,0,0,2
Alappuzha,1901,1893,8,4,0,1,0,1
Ernakulam,1012,989,23,4,3,0,0,3
Thrissur,2717,2684,33,8,1,1,0,2
Palakkad,309,280,29,9,0,0,0,0
Malappuram,3834,3821,13,6,2,0,0,2
Kozhikode,4953,4945,8,4,0,0,0,0
Wayanad,433,433,0,0,0,0,0,0
Kannur,2239,2218,21,10,1,0,0,1
Kasaragod,380,372,8,3,1,1,0,2
Total,25603,25366,237,57,24,3,0,28
