district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases,cases_delta
Thiruvananthapuram,17748,17646,102,18,6,6,1,13,0
Kollam,12670,12661,9,3,6,0,0,6,0
Pathanamthitta,7697,7683,14,5,6,8,0,14,1
Idukki,3608,3600,8,0,7,3,0,10,0
Kottayam,3326,3324,2,0,0,3,0,3,0
Alappuzha,8502,8487,15,8,2,1,0,3,0
Ernakulam,1183,1142,41,9,19,5,1,25,0
Thrissur,14501,14463,38,6,10,2,0,12,0
Palakkad,18531,18502,29,6,7,0,0,7,0
Malappuram,16850,16694,156,61,12,1,0,13,0
Kozhikode,21934,21899,35,13,3,4,0,7,0
Wayanad,10906,10898,8,1,8,0,0,8,5
Kannur,10430,10343,87,15,31,19,0,50,1
Kasaragod,10731,10499,232,43,139,4,0,143,1
Total,158617,157841,776,188,256,56,2,314,8
