district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases,cases_delta
Thiruvananthapuram,26,24,2,4,0,0,0,0,0
Kollam,5,4,1,0,0,0,0,0,0
Pathanamthitta,2,2,0,1,0,0,0,0,0
Idukki,0,0,0,1,0,0,0,0,0
Kottayam,13,13,0,1,0,0,0,0,0
Alappuzha,20,19,1,0,0,1,0,1,0
Ernakulam,21,20,1,0,0,0,0,0,0
Thrissur,22,21,1,7,0,1,0,1,0
Palakkad,8,8,0,1,0,0,0,0,0
Malappuram,5,5,0,0,0,0,0,0,0
Kozhikode,5,4,1,0,0,0,0,0,0
Wayanad,0,0,0,0,0,0,0,0,0
Kannur,5,5,0,1,0,0,0,0,0
Kasaragod,3,3,0,0,0,1,0,1,0
Total,135,128,7,16,0,3,0,3,0
