district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases
Thiruvananthapuram,4179,4136,43,3,4,0,0,4
Kollam,900,896,4,0,0,0,0,0
Pathanamthitta,5257,5242,15,4,9,0,0,9
Idukki,537,537,0,0,1,0,0,1
Kottayam,2134,2129,5,0,2,0,0,2
Alappuzha,4476,4470,6,1,0,1,0,1
Ernakulam,3474,3451,23,1,12,0,0,12
Thrissur,6538,6514,24,4,1,1,0,2
Palakkad,4110,4089,21,7,0,0,0,0
Malappuram,7018,7008,10,6,2,0,0,2
Kozhikode,7649,7626,23,18,0,0,0,0
Wayanad,889,888,1,1,0,0,0,0
Kannur,5187,5149,38,16,4,0,0,4
Kasaragod,665,650,15,9,14,1,0,15
Total,53013,52785,228,70,49,3,0,52
