district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases,cases_delta
Thiruvananthapuram,12470,12365,105,25,6,6,1,13,0
Kollam,11374,11365,9,1,6,1,0,7,1
Pathanamthitta,7716,7700,16,3,7,8,0,15,1
Idukki,3723,3715,8,0,7,3,0,10,0
Kottayam,3222,3219,3,3,0,3,0,3,0
Alappuzha,8743,8731,12,3,2,1,0,3,0
Ernakulam,707,672,35,1,19,5,1,25,0
Thrissur,14716,14677,39,4,9,3,0,12,0
Palakkad,18427,18395,32,10,7,0,0,7,0
Malappuram,16453,16285,168,11,14,1,0,15,2
Kozhikode,21934,21897,37,13,3,4,0,7,0
Wayanad,11588,11579,9,2,8,0,0,8,0
Kannur,10895,10794,101,30,30,20,0,50,0
Kasaragod,10836,10615,221,16,148,4,0,152,9
Total,152804,152009,795,122,256,59,2,327,13
