district,observation,isolation,total_hospitalized,hospitalized_today,active,total_cases
Thiruvananthapuram,28,25,3,1,0,0
Kollam,30,27,3,0,0,0
Pathanamthitta,26,21,5,0,0,0
Idukki,11,11,0,0,0,0
Kottayam,71,71,0,0,0,0
Alappuzha,33,30,3,0,0,1
Ernakulam,138,134,4,0,0,0
Thrissur,101,86,15,0,0,1
Palakkad,18,14,4,1,0,0
Malappuram,41,30,11,15,0,0
Kozhikode,33,28,5,1,0,0
Wayanad,10,9,1,0,0,0
Kannur,45,37,8,2,0,0
Kasaragod,52,51,1,0,0,1
Total,637,574,63,20,0,3
