district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases,cases_delta
Thiruvananthapuram,26,26,0,0,0,0,0,0,0
Kollam,7,5,2,0,0,0,0,0,0
Pathanamthitta,2,2,0,0,0,0,0,0,0
Idukki,0,0,0,0,0,0,0,0,0
Kottayam,16,16,0,0,0,0,0,0,0
Alappuzha,8,7,0,12,0,1,0,1,0
Ernakulam,30,28,1,8,0,0,0,0,0
Thrissur,23,20,2,6,0,1,0,1,0
Palakkad,7,7,3,3,0,0,0,0,0
Malappuram,5,5,0,0,0,0,0,0,0
Kozhikode,6,6,0,0,0,0,0,0,0
Wayanad,0,0,0,0,0,0,0,0,0
Kannur,3,3,0,2,0,0,0,0,0
Kasaragod,3,3,0,3,0,1,0,1,0
Total,136,128,8,34,0,3,0,3,0
