district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases,cases_delta
Thiruvananthapuram,18122,18036,86,16,6,2,0,8,0
Kollam,17049,17032,17,4,2,0,0,2,0
Pathanamthitta,7486,7467,19,3,7,5,0,12,0
Idukki,2661,2655,6,2,4,1,0,5,2
Kottayam,3360,3356,4,1,1,2,0,3,0
Alappuzha,6627,6612,15,1,1,1,0,2,0
Ernakulam,5527,5502,25,7,15,5,1,21,0
Thrissur,17827,17785,42,9,5,2,0,7,0
Palakkad,20143,20099,44,16,5,0,0,5,0
Malappuram,12099,11994,105,26,10,0,0,10,0
Kozhikode,20135,20113,22,3,6,0,0,6,0
Wayanad,7906,7894,12,4,3,0,0,3,2
Kannur,10904,10812,92,25,42,1,0,43,11
Kasaragod,7437,7303,134,9,106,1,0,107,17
Total,157283,156660,623,126,213,20,1,234,32
