district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases,cases_delta
Thiruvananthapuram,18392,18315,77,13,7,2,1,10,2
Kollam,17247,17228,19,2,3,0,0,3,1
Pathanamthitta,7254,7241,13,2,5,7,0,12,0
Idukki,2737,2732,5,1,4,1,0,5,0
Kottayam,3258,3254,4,0,1,2,0,3,0
Alappuzha,6956,6945,11,1,1,1,0,2,0
Ernakulam,5312,5281,31,8,15,5,1,21,0
Thrissur,20588,20541,47,8,6,2,0,8,1
Palakkad,20219,20171,48,10,5,0,0,5,0
Malappuram,12642,12540,102,24,10,0,0,10,0
Kozhikode,21239,21222,17,5,6,0,0,6,0
Wayanad,8511,8498,13,2,3,0,0,3,0
Kannur,11049,10941,108,37,41,3,0,44,1
Kasaragod,7725,7562,163,37,108,1,0,109,2
Total,163129,162471,658,150,215,20,2,241,7
