district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases,cases_delta
Thiruvananthapuram,313,284,29,15,3,0,0,3,0
Kollam,308,290,18,7,0,0,0,0,0
Pathanamthitta,969,941,28,4,9,0,0,9,0
Idukki,58,58,0,0,0,0,0,0,0
Kottayam,802,791,11,1,2,0,0,2,0
Alappuzha,523,513,10,1,0,1,0,1,0
Ernakulam,526,500,26,3,3,0,0,3,0
Thrissur,1391,1331,60,12,1,1,0,2,0
Palakkad,154,132,22,5,0,0,0,0,0
Malappuram,195,164,31,22,0,0,0,0,0
Kozhikode,1837,1819,18,16,0,0,0,0,0
Wayanad,105,105,0,0,0,0,0,0,0
Kannur,261,218,43,20,1,0,0,1,0
Kasaragod,235,229,6,0,0,1,0,1,0
Total,7677,7375,302,106,19,3,0,22,0
