district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases,cases_delta
Thiruvananthapuram,18093,18005,88,27,8,4,1,13,0
Kollam,15906,15884,22,9,5,0,0,5,0
Pathanamthitta,8437,8415,22,6,5,8,0,13,0
Idukki,2946,2936,10,4,7,3,0,10,0
Kottayam,3251,3247,4,1,0,3,0,3,0
Alappuzha,7378,7366,12,4,1,1,0,2,0
Ernakulam,12133,12097,36,2,18,5,1,24,0
Thrissur,14073,14033,40,11,10,2,0,12,1
Palakkad,19610,19563,47,4,6,0,0,6,0
Malappuram,14794,14694,100,59,12,1,0,13,0
Kozhikode,21934,21908,26,13,5,2,0,7,0
Wayanad,10842,10835,7,3,3,0,0,3,0
Kannur,10352,10244,108,24,40,8,0,48,1
Kasaragod,10248,10064,184,17,131,5,0,136,7
Total,169997,169291,706,184,251,42,2,295,9
