district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases,cases_delta
Thiruvananthapuram,7968,7854,114,34,4,1,0,5,
Kollam,16464,16456,8,3,0,0,0,0,
Pathanamthitta,6417,6400,17,4,11,1,0,12,
Idukki,1307,1304,3,1,3,0,0,3,1
Kottayam,2903,2896,7,0,3,0,0,3,
Alappuzha,5791,5769,22,7,1,1,0,2,
Ernakulam,3495,3463,32,5,15,5,0,20,
Thrissur,13283,13233,50,18,3,2,0,5,2
Palakkad,5915,5873,42,13,3,0,0,3,
Malappuram,11235,11160,75,20,8,0,0,8,3
Kozhikode,10324,10277,47,6,5,0,0,5,
Wayanad,2913,2909,4,4,1,0,0,1,1
Kannur,9190,9110,80,14,21,1,0,22,9
Kasaragod,4798,4698,100,7,47,1,0,48,3
Total,102003,101402,601,136,126,12,0,137,19
