district,observation,isolation,total_hospitalized,home_discharged_today,active,recovered,deceased,total_cases,cases_delta
Thiruvananthapuram,30,27,3,0,0,0,0,0,0
Kollam,4,4,0,0,0,0,0,0,0
Pathanamthitta,2,2,0,0,0,0,0,0,0
Idukki,1,1,0,1,0,0,0,0,0
Kottayam,10,10,0,0,0,0,0,0,0
Alappuzha,21,21,0,0,0,1,0,1,0
Ernakulam,9,9,0,0,0,0,0,0,0
Thrissur,30,27,3,5,0,1,0,1,0
Palakkad,10,10,0,1,0,0,0,0,0
Malappuram,5,5,0,0,0,0,0,0,0
Kozhikode,3,3,0,0,0,0,0,0,0
Wayanad,0,0,0,0,0,0,0,0,0
Kannur,6,5,1,0,0,0,0,0,0
Kasaragod,4,4,0,0,0,1,0,1,0
Total,135,128,7,7,0,3,0,3,0
