district,observation,isolation,total_hospitalized,home_discharged_today,active,recovered,deceased,total_cases,cases_delta
Thiruvananthapuram,28,26,2,0,0,0,0,0,0
Kollam,4,4,0,3,0,0,0,0,0
Pathanamthitta,2,2,0,0,0,0,0,0,0
Idukki,2,2,0,0,0,0,0,0,0
Kottayam,9,9,0,0,0,0,0,0,0
Alappuzha,18,17,1,9,0,1,0,1,0
Ernakulam,9,9,0,0,0,0,0,0,0
Thrissur,27,26,1,4,0,1,0,1,0
Palakkad,10,10,0,1,0,0,0,0,0
Malappuram,5,5,0,1,0,0,0,0,0
Kozhikode,3,3,0,0,0,0,0,0,0
Wayanad,0,0,0,0,0,0,0,0,0
Kannur,6,5,1,1,0,0,0,0,0
Kasaragod,4,4,0,0,0,1,0,1,0
Total,127,122,5,19,0,3,0,3,0
