district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases,cases_delta
Thiruvananthapuram,2618,2553,65,6,4,0,0,4,0
Kollam,673,666,7,1,0,0,0,0,0
Pathanamthitta,3730,3715,15,6,9,0,0,9,0
Idukki,480,479,1,1,1,0,0,1,0
Kottayam,1596,1590,6,0,2,0,0,2,0
Alappuzha,2449,2439,10,7,0,1,0,1,0
Ernakulam,1108,1085,23,6,3,0,0,3,0
Thrissur,3008,2978,30,4,1,1,0,2,0
Palakkad,492,466,26,4,0,0,0,0,0
Malappuram,4712,4701,11,6,2,0,0,2,0
Kozhikode,5662,5652,10,8,0,0,0,0,0
Wayanad,545,545,0,0,0,0,0,0,0
Kannur,3583,3559,24,12,1,0,0,1,0
Kasaragod,517,508,9,3,2,1,0,3,1
Total,31173,30936,237,64,25,3,0,28,1
